ID,Content,Role,Role Confidence,Turn
412613,"Order: 2894-871477 - Cooks Venture Heirloom and Farmer Focus chicken (on Jul 6th, 5:52 PM)
Date answered: July 28th at 9:37 PM
Nps Score: 2
Needs Improvement: The website was confusing and difficult to navigate.",Customer,98%,1
412613,The product you sell is amazing quality but your website is difficult to navigate and I've decided to stay with another company I've been with for over a year.,Customer,98%,1
412613,When I placed my order I thought I had free shipping and I didn't.,Customer,98%,1
412613,"How First Heard: Social media (e.g., Facebook, Instagram, Twitter)",Customer,98%,1
412611,"Damaged package
Ice melted
Thawed meat
Busted gell pack
Photos are sent in text message, please contact me with instructions ASAP
843-637-9298",Customer,78%,1
412604,"Found a first-time gift card purchaser:
- wtl0229@gmail.com - has 1 order - $100.00 - 
Gift card
for Adam Lanning Poetichandz@yahoo.com
from Grant Lanning wtl0229@gmail.com
delivered by email
Summary:  (wtl0229@gmail.com) ordered a gift card 1 of $100 Gift Card for $100.00",Customer,85%,1
412601,We were updated routinely as to why it was delayed but at no point was I ever offered a chance to cancel or just skip.,Customer,98%,1
412601,I was charged though for both these items.,Customer,98%,1
412601,First this box was extremely delayed.,Customer,98%,1
412601,I was charged though.,Customer,98%,1
412601,This box also did not contain the order that I had placed.,Customer,98%,1
412601,It is missing the bison ribeye and the 2 packs of creamed spinach.,Customer,98%,1
412601,"Good evening,
We just got our box delivered today and I have to say I am very disappointed.",Customer,98%,1
412601,Thanks in advance for your help.,Customer,98%,1
412601,Olivia,Customer,98%,1
412590,"Order Token: oht0xvrxe5r - 
FC: Crowd Cow Forest Grove
User: joleen.adler@gmail.com - 
Created by: Cow Owner (fulfillment staff, fulfillment specialist)
FC Notes:",Customer,52%,1
412584,What is going to be done to correct this??,Customer,86%,1
412584,"Sam Brandt BR107301000
Associate Broker
RE/MAX Fine Properties
21020 N Pima Rd
Scottsdale AZ 85255
azsambrandt@gmail.com
602-320-8125 Direct",Customer,86%,1
412584,This is very disappointing to say the least.,Customer,86%,1
412584,It was supposed to go to Florida for my brother's birthday.,Customer,86%,1
412584,This package was not supposed to come to AZ!,Customer,86%,1
412544,Pl,Customer,51%,1
412544,.,Customer,51%,1
412544,Popcorn,Customer,51%,1
412543,"Order Token: oqajqzfxgje - 
FC: Crowd Cow Forest Grove
User: trez80@aol.com - 
Created by: Cow Owner (fulfillment specialist, fulfillment staff)
FC Notes:",Customer,52%,1
412539,I ordered a $150 custom and it was clearly depicted the order included 1 complimentary pound  of ground wagyu.,Customer,80%,1
412539,Can you confirm that this offer that was promised is part of my order?,Customer,80%,1
412539,This is important pls reply promptly.,Customer,80%,1
412539,"Thank you,
Armand Castagna
239-357-2568",Customer,80%,1
412539,After I paid it disappeared from the order list.,Customer,80%,1
412528,Your email telling me the order shipped clearly mentioned Sena Sea halibut which I ordered and paid for two (2).,Customer,90%,1
412528,It was not in the package which I carefully disassembled.,Customer,90%,1
412528,Why???,Customer,90%,1
